,lake_id,label,ice_sheet,melt_season,date_time,lon,lat,surface_elevation,depth_quality_sort,max_depth,cycle_number,rgt,gtx,beam_strength,beam_number,sc_orient,granule_id,polygon_name,lat_max,lat_min,lon_max,lon_min,has_depth_data,conf_mean,conf_median,conf_q90,length_water,total_length,depth_mean,depth_median,ratio_water,geometry,basin,region,sub_basin,grounded,rdepth
2982,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190121213546_03730210_006_02_gt2l_0019,good_lake,AIS,2018-19,2019-01-21T21:41:11Z,11.449393468958476,-70.53733581536099,49.545070648186375,0.0,0.0,2,373,gt2l,strong,3,backward,ATL03_20190121213546_03730210_006_02.h5,ANT_1000_East_A-Ap,-70.53231154702694,-70.54234579257644,11.451292402882313,11.447498309940292,True,0.0168977951357221,0.000271081171738,0.0617974160706761,35.0,35.0,1.7324306031809713,1.7467203587600912,0.0533333333333333,POINT (423686.4543269216 2091941.4562714524),A-Ap,East,Nivl,False,0.0
2983,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190121213546_03730210_006_02_gt2l_0020,good_lake,AIS,2018-19,2019-01-21T21:41:11Z,11.44438386100402,-70.55050842627787,49.15749984740746,0.0,0.0,2,373,gt2l,strong,3,backward,ATL03_20190121213546_03730210_006_02.h5,ANT_1000_East_A-Ap,-70.54611509623645,-70.55489800831187,11.446052000446342,11.442702131540663,True,0.0797404835798943,0.0803313173633001,0.1565039726442064,375.0,375.0,1.3275482821625753,1.2706133017039098,0.2560975609756097,POINT (423211.54886096634 2090536.118116313),A-Ap,East,Nivl,False,0.0
2984,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190121213546_03730210_006_02_gt3l_0037,good_lake,AIS,2018-19,2019-01-21T21:41:13Z,11.31183048924768,-70.65718988978102,47.88502847289578,0.0,0.2816132910562851,2,373,gt3l,strong,5,backward,ATL03_20190121213546_03730210_006_02.h5,ANT_1000_East_A-Ap,-70.65404168037088,-70.66031565241134,11.313065348813629,11.310603705717938,True,0.0843314207418452,0.0402142540861146,0.2330823288807516,155.0,155.0,0.3300687337800549,0.3141616690057222,0.0803571428571428,POINT (416036.61052680045 2079824.7829752828),A-Ap,East,Nivl,False,0.0
2985,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190205090722_05940212_006_02_gt1l_0000,good_lake,AIS,2018-19,2019-02-05T09:09:31Z,20.331533077567368,-70.91518616058437,94.66627850342743,0.0,0.3146388550859237,2,594,gt1l,strong,1,backward,ATL03_20190205090722_05940212_006_02.h5,ANT_1000_East_A-Ap,-70.91078907314498,-70.91957682936734,20.333241857631776,20.32981894380241,True,0.040583875948117,0.0095734950366098,0.1067756659964065,170.0,170.0,1.5096463490247196,1.694260573341647,0.0769230769230769,POINT (726947.0371708215 1961874.2292256951),A-Ap,East,Borchgrevink,True,0.0
2986,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190216090758_07620212_006_02_gt2l_0001,good_lake,AIS,2018-19,2019-02-16T09:10:17Z,12.140571285483691,-70.28855639193725,24.502913391115666,0.0,0.0,2,762,gt2l,strong,3,backward,ATL03_20190216090758_07620212_006_02.h5,ANT_1000_East_A-Ap,-70.28414995839586,-70.2929517801496,12.142217913756395,12.138926231170316,True,0.0059693757495722,0.0,0.0218838674034886,0.0,,,,0.0,POINT (454738.27133694035 2113860.4320597444),A-Ap,East,Nivl,False,0.0
2987,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190217210313_07850210_006_02_gt1l_0000,good_lake,AIS,2018-19,2019-02-17T21:09:04Z,-0.2713359964229783,-72.15440555830145,869.289702636671,0.0,0.0,2,785,gt1l,strong,1,backward,ATL03_20190217210313_07850210_006_02.h5,ANT_1000_East_A-Ap,-72.15064488448331,-72.15816914805076,-0.2697264926730686,-0.2729705734929623,True,0.0352188541948012,0.009115041664695,0.1288767093282638,245.0,245.0,0.3242974544985383,0.3728155320210008,0.0542635658914728,POINT (-9254.3048672918 1954140.454564906),A-Ap,East,Jutulstraumen,True,0.0
2988,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190217210313_07850210_006_02_gt2r_0002,good_lake,AIS,2018-19,2019-02-17T21:09:04Z,-0.3533812696999808,-72.10835355875038,805.155622558546,0.0,0.0,2,785,gt2r,weak,4,backward,ATL03_20190217210313_07850210_006_02.h5,ANT_1000_East_A-Ap,-72.10396145375017,-72.11273332309769,-0.3514533846979829,-0.3553003384135211,True,0.031793823771847,0.0195192095867165,0.0760068144599287,15.0,15.0,0.2566057351389825,0.2621819938520569,0.028169014084507,POINT (-12084.138810031465 1959247.5123290094),A-Ap,East,Jutulstraumen,True,0.0
2989,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190220085937_08230212_006_02_gt2r_0001,good_lake,AIS,2018-19,2019-02-20T09:01:55Z,11.407241762430576,-70.40194496801408,44.86292330932161,0.0,0.0,2,823,gt2r,weak,4,backward,ATL03_20190220085937_08230212_006_02.h5,ANT_1000_East_A-Ap,-70.39627947224999,-70.40757796695729,11.409368177681714,11.405101842072243,True,0.0170176323932191,0.0124215618336083,0.0400985961386441,0.0,,,,0.0,POINT (425139.5614109663 2107082.741967003),A-Ap,East,Nivl,False,0.0
2990,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190226184639_09210210_006_02_gt2l_0004,good_lake,AIS,2018-19,2019-02-26T18:52:06Z,28.037833325838267,-70.61103089355183,28.489322006228,0.0,2.6090988239837305,2,921,gt2l,strong,3,backward,ATL03_20190226184639_09210210_006_02.h5,ANT_1000_East_A-Ap,-70.59847332597708,-70.62359027255938,28.042632733613907,28.033037989565297,True,0.0226793499200051,0.0,0.076957581097203,1815.0,1815.0,2.4599050544840617,2.578866758104805,0.066543438077634,POINT (999421.8535053227 1876648.63406515),A-Ap,East,Baudouin,False,0.0
2991,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190307071743_10510212_006_02_gt3r_0001,good_lake,AIS,2018-19,2019-03-07T07:19:50Z,26.486516712970847,-71.01942214196151,56.82477026366736,0.0,0.0,2,1051,gt3r,weak,6,backward,ATL03_20190307071743_10510212_006_02.h5,ANT_1000_East_A-Ap,-71.01441713636234,-71.02445417891758,26.4885396250814,26.484507917556943,True,0.0034018655510337,0.0,0.0125039225355928,0.0,,,,0.0,POINT (927917.9105391839 1862212.722206945),A-Ap,East,Baudouin,False,0.0
2992,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190324061842_13100212_006_02_gt2l_0000,good_lake,AIS,2018-19,2019-03-24T06:20:58Z,28.810172878954248,-70.48116371668263,28.94925228882081,0.0,0.0,2,1310,gt2l,strong,3,backward,ATL03_20190324061842_13100212_006_02.h5,ANT_1000_East_A-Ap,-70.4767645500944,-70.4855524339356,28.811833620548462,28.808513362407183,True,0.0039298136752915,0.0,0.0095841579681028,0.0,,,,0.0,POINT (1031619.080229273 1875719.18920407),A-Ap,East,Baudouin,False,0.0
2993,lake_100000_AIS_2018-19_simplified_ANT_1000_East_A-Ap_ATL03_20190331171418_00370310_006_02_gt2r_0004,good_lake,AIS,2018-19,2019-03-31T17:19:48Z,27.40859419672086,-70.7925511843406,65.6713688964938,0.0,0.0,3,37,gt2r,weak,4,backward,ATL03_20190331171418_00370310_006_02.h5,ANT_1000_East_A-Ap,-70.7862921337771,-70.79881172337495,27.41102553589489,27.40615894058607,True,0.0413502716861435,0.0051516190998678,0.1478516158577212,185.0,185.0,0.2649575642900001,0.2837582853444169,0.1476793248945147,POINT (969421.0773993147 1869516.4469122002),A-Ap,East,Baudouin,False,0.0
2994,lake_100000_AIS_2018-19_simplified_ANT_1000_East_Ap-B_ATL03_20181228191709_00050210_006_02_gt2r_0000,good_lake,AIS,2018-19,2018-12-28T19:21:48Z,64.36103881264007,-67.60036051540342,-148.3880280761624,0.0,1.368370400036952,2,5,gt2r,weak,4,backward,ATL03_20181228191709_00050210_006_02.h5,ANT_1000_East_Ap-B,-67.59659306880725,-67.60414207633022,64.3622244645699,64.3598575038666,True,0.2023670375642059,0.162875926258726,0.4259019193653315,80.0,80.0,1.0422792024346033,1.129710888206633,0.1574074074074074,POINT (2221392.906702813 1066171.0608130232),Ap-B,East,Mawson_Coast,True,0.0
2995,lake_100000_AIS_2018-19_simplified_ANT_1000_East_Ap-B_ATL03_20190107194330_01580210_006_02_gt1l_0000,good_lake,AIS,2018-19,2019-01-07T19:47:59Z,50.85242019376899,-67.05452320555412,94.40025524903304,0.0,0.0,2,158,gt1l,strong,1,backward,ATL03_20190107194330_01580210_006_02.h5,ANT_1000_East_Ap-B,-67.05010350968453,-67.05893281884852,50.85376870535579,50.85106305665225,True,0.0182330291531152,0.0,0.0707385328955411,10.0,10.0,0.2175808291247628,0.2209286207713685,0.0208333333333333,POINT (1958658.461112777 1594461.1217592226),Ap-B,East,Enderby_Land,True,0.0
2996,lake_100000_AIS_2018-19_simplified_ANT_1000_East_Ap-B_ATL03_20190107194330_01580210_006_02_gt1r_0002,good_lake,AIS,2018-19,2019-01-07T19:48:00Z,50.850307686165095,-67.05383957723714,94.45362548829074,0.0,1.6452438870877737,2,158,gt1r,weak,2,backward,ATL03_20190107194330_01580210_006_02.h5,ANT_1000_East_Ap-B,-67.05008192277477,-67.05762807984269,50.851489808488566,50.84914112480711,True,0.0702123242409457,0.0055330665161112,0.3085931970845315,65.0,65.0,1.4928250567835624,1.5259502251425294,0.0992907801418439,POINT (1958659.5536012044 1594582.0878604674),Ap-B,East,Enderby_Land,True,0.0
2997,lake_100000_AIS_2018-19_simplified_ANT_1000_East_Ap-B_ATL03_20190107194330_01580210_006_02_gt1r_0003,good_lake,AIS,2018-19,2019-01-07T19:48:01Z,50.82043537493463,-67.15583626311806,-53.00911367798312,0.0,0.3319136961590961,2,158,gt1r,weak,2,backward,ATL03_20190107194330_01580210_006_02.h5,ANT_1000_East_Ap-B,-67.15081389136114,-67.16086165947286,50.82198545119044,50.81888374148971,True,0.0567697031947056,0.005237151658702,0.1728827506332123,460.0,460.0,0.5872923360867234,0.6818667483084944,0.1147540983606557,POINT (1948898.9265104996 1588326.0499521566),Ap-B,East,Enderby_Land,True,0.0
2998,lake_100000_AIS_2018-19_simplified_ANT_1000_East_Ap-B_ATL03_20190113184346_02490210_006_02_gt3l_0001,good_lake,AIS,2018-19,2019-01-13T18:48:24Z,61.189489018480415,-67.54718424422776,57.572051055903614,0.0,0.0,2,249,gt3l,strong,5,backward,ATL03_20190113184346_02490210_006_02.h5,ANT_1000_East_Ap-B,-67.54277848948209,-67.5515909049401,61.19088311658092,61.188103519509184,True,0.0863956603868278,0.0630119281158165,0.2140346095935182,165.0,165.0,1.60420980725896,1.5688889831650954,0.206060606060606,POINT (2164257.52813355 1190327.7286818617),Ap-B,East,Utsikkar,False,0.0
2999,lake_100000_AIS_2018-19_simplified_ANT_1000_East_Ap-B_ATL03_20190118180945_03250210_006_02_gt3l_0000,good_lake,AIS,2018-19,2019-01-18T18:14:28Z,66.02098084331865,-67.86824670780757,457.43417749018806,0.0,0.0,2,325,gt3l,strong,5,backward,ATL03_20190118180945_03250210_006_02.h5,ANT_1000_East_Ap-B,-67.86446735468509,-67.87201175343736,66.0222024132061,66.01976210339065,True,0.0042958959509543,0.0,0.0103142642940623,0.0,,,,0.0,POINT (2223761.1524288426 989106.6867958197),Ap-B,East,Mawson_Coast,True,0.0
3000,lake_100000_AIS_2018-19_simplified_ANT_1000_East_Ap-B_ATL03_20190205181942_06000210_006_02_gt3l_0007,good_lake,AIS,2018-19,2019-02-05T18:24:11Z,50.96167715085654,-67.04099392412931,97.18804241944304,0.0,0.0,2,600,gt3l,strong,5,backward,ATL03_20190205181942_06000210_006_02.h5,ANT_1000_East_Ap-B,-67.03534930248154,-67.04667957333399,50.96333815481428,50.959998355274585,True,0.0363750525653342,0.0139443261934329,0.1122648995152433,515.0,515.0,2.306261528608809,2.687721632516713,0.0714285714285714,POINT (1962882.3529602594 1591685.7901393538),Ap-B,East,Enderby_Land,True,0.0
